Business Type,Name,Rating,Review Count,Price Level,Category,Address,City,State,Phone,Yelp URL
restaurants,Tacos González,5.00,8,0,Mexican,"114642 S 10th Ave, Hanford, CA 93230",Hanford,California,5597722439,https://www.yelp.com/biz/tacos-gonz%C3%A1lez-hanford-2?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Subs n stuff,5.00,5,0,Breakfast & Brunch,"605 E Main St, Visalia, CA 93292",Visalia,California,5597542871,https://www.yelp.com/biz/subs-n-stuff-visalia?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Sabor a Oaxaca Restaurante,5.00,5,0,Mexican,"131 E Yosemite Ave, Madera, CA 93638",Madera,California,5592850131,https://www.yelp.com/biz/sabor-a-oaxaca-restaurante-madera?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Taquizas Gracian,5.00,15,0,Mexican,"825 West Main St, Merced, CA 95340",Merced,California,2093825051,https://www.yelp.com/biz/taquizas-gracian-no-title?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Indulge! Crepes and Frozen Delights,5.00,13,0,Ice Cream & Frozen Yogurt,"1127 N Willow Ave, Ste 105, Clovis, CA 93611",Clovis,California,Not Provided,https://www.yelp.com/biz/indulge-crepes-and-frozen-delights-clovis?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Kasza Creations,5.00,6,0,Bakeries,"4 S Stewart St, Sonora, CA 95370",Sonora,California,Not Provided,https://www.yelp.com/biz/kasza-creations-sonora?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Popsie's Bar And Grill,5.00,11,0,Bars,"203 E Main St, Fowler, CA 93625",Fowler,California,5598341209,https://www.yelp.com/biz/popsies-bar-and-grill-fowler?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Sy-Salathai,5.00,22,0,Laotian,"101 NE 3rd Ave, Visalia, CA 93291",Visalia,California,5599096445,https://www.yelp.com/biz/sy-salathai-visalia-5?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Fresno Country Cafe,5.00,7,0,Breakfast & Brunch,"3069 W Ashlan Ave, Fresno, CA 93722",Fresno,California,5595702117,https://www.yelp.com/biz/fresno-country-cafe-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Angelo's Kitchen,5.00,8,0,Mexican,"1531 S Court St, Visalia, CA 93277",Visalia,California,5597407977,https://www.yelp.com/biz/angelos-kitchen-visalia?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
